sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,key_feature_1,key_feature_2,short_description,color,length,width,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
EE001,,Default,simple,Earring,base,Antique Rosette Earring,"This handcrafted piece in antique gold, features  flower with grey stone having bead tassels.                                                                                                                                   ",Plating- Electroplated Antique gold             ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Antique gold             </li><li>Stone-Faceted Foiled Stone</li></ul>,Antique gold,100,52,56,1,taxable,"Catalog, Search",1895,,,,Antique Rosette Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE002,,Default,simple,Earring,base,Grey Anemone Earring,This grey anemone earring features Silver embellishment of stone on fabric combine with 3d glass pipe embalishment and grey feather                                                                                                                                                             ,Plating- Electroplated Silver  ,Stone-Faceted Foiled Stone ,<ul><li>Plating- Electroplated Silver  </li><li>Stone-Faceted Foiled Stone </li></ul>,Silver,85,35,45,1,taxable,"Catalog, Search",1999,,,,Grey Anemone Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE003,,Default,simple,Earring,base,Clover Like Earring\ Deltoide Earring,Rose gold finish earrings with claw shape. Three layer of different shapes with grey stone enhancing the charm of this earring.                                                                                                         ,Plating- Electroplated Rose gold      ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold      </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,130,70,50,1,taxable,"Catalog, Search",2895,,,,Clover Like Earring\ Deltoide Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE004,,Default,simple,Earring,base,Abstract Mystery Earring,"This handcrafted Rectanglular tube rose gold earrings, arranged in an abstract form with crystal and grey glass pencil shape beads                                                                                                              ",Plating- Electroplated Rose gold                ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,45,108,1,taxable,"Catalog, Search",3950,,,,Abstract Mystery Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE005,,Default,simple,Earring,base,Septette Tassel Earring,"This Septette tassel Rose gold finish earrings, have grey stone and pearl with chain tassel attached from one ear to another. A must have.                                                                                                                          ",Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone          ,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone          </li></ul>,Rose gold,140,150,78,1,taxable,"Catalog, Search",3999,,,,Septette Tassel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE006,,Default,simple,Earring,base,Asymmetrical Baguette Hoops,Abstract arrangement of baguette with very distintive combination of crystal and rose gold.                                                                             ,Plating- Electroplated Rose gold                                               ,"Stone-Faceted Foiled Stone , Cubic Zirconia","<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone , Cubic Zirconia</li></ul>",Rose gold,70,50,50,1,taxable,"Catalog, Search",4550,,,,Asymmetrical Baguette Hoops,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE007,,Default,simple,Earring,base,Milky Diamond Earring,Milky Diamond Earring with diamond shape  arrangments in rose gold finish and oval crystal with opaque and grey beads.                                                ,Plating - Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating - Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,105,45,70,1,taxable,"Catalog, Search",2150,,,,Milky Diamond Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE008,,Default,simple,Earring,base,Azaleas Tassel Earring, Azaleas tassel earrings with dramatic chain tassels. Handcrafted in Gunmetal plating with grey and crystal stones.                                                                                            ,Plating- ElectroplatedGunmetal                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- ElectroplatedGunmetal                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,270,55,125,1,taxable,"Catalog, Search",4599,,,,Azaleas Tassel Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE009,,Default,simple,Earring,base,Abstract Adore Earring,This abstract earring is handcrafted with small metallic flower with pipe arranged in an abstract way with gunmetal spikes.                                                               ,Plating- Electroplated Gunmetal                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,135,70,78,1,taxable,"Catalog, Search",3449,,,,Abstract Adore Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE010,,Default,simple,Earring,base,Enthral Gunmetal Earring ,Gunmetal statement piece with eye catching embellishment with crystal baguette golden grey sequins flower.                                                                                 ,Plating- Electroplated Gunmetal                                           ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Gunmetal                                           </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,140,90,92,1,taxable,"Catalog, Search",3450,,,,Enthral Gunmetal Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE011,,Default,simple,Earring,base, Grelish Earring,Rose gold plated Grelish earrings features grey and crystal execution with metal ball chain. Can be effortlessly coordinatined with everything.                              ,Plating- Electroplated Rose gold                                               ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,125,60,86,1,taxable,"Catalog, Search",2899,,,, Grelish Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE012,,Default,simple,Earring,base,The Allure Earring,Handcrafted Allure earrings with sequins is a masterpiece which features the petal crystal marquise and gush of gunmetal balls.                                                         ,Plating- Electroplated Silver and Gunmetal                                          ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Silver and Gunmetal                                          </li><li>Stone-Faceted Foiled Stone</li></ul>,Gunmetal,175,75,80,1,taxable,"Catalog, Search",2995,,,,The Allure Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE013,,Default,simple,Earring,base,Crystal Spiral Galaxy Earring ,"Handcrafted with rose gold plating and spirals,   Crystal baguette enhances the elegance of the this product with a round stone on top.                                            ",Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,70,55,31,1,taxable,"Catalog, Search",2449,,,,Crystal Spiral Galaxy Earring ,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE014,,Default,simple,Earring,base,Euphoria Ovate Earring,This euphoria ovate earrings features the oval shape ring and metal pipe with some grey stone and grey dazzle drops in rose gold plating.                                     ,Plating- Electroplated Rose Gold                                              ,Stone-Faceted Foiled Stone,<ul><li>Plating- Electroplated Rose Gold                                              </li><li>Stone-Faceted Foiled Stone</li></ul>,Rose gold,115,35,45,1,taxable,"Catalog, Search",2899,,,,Euphoria Ovate Earring,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
