sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,key_feature_1,key_feature_2,short_description,color,length,width,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,errors
EE001,,default,simple,Earring,base,"Antique Rosette Earring","This handcrafted piece in antique gold, features  flower with grey stone having bead tassels.                                                                                                                                   ","Plating- Electroplated Antique gold             ","Stone-Faceted Foiled Stone","<ul><li>Plating- Electroplated Antique gold             </li><li>Stone-Faceted Foiled Stone</li></ul>","Antique gold",100,52,56,1,taxable,1,1895,,,,"Antique Rosette Earring This handcrafted piece in antique gold, features  flower with grey stone having bead tassels.                                                                                                                                   ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
EE002,,default,simple,Earring,base,"Grey Anemone Earring","This grey anemone earring features Silver embellishment of stone on fabric combine with 3d glass pipe embalishment and grey feather                                                                                                                                                             ","Plating- Electroplated Silver  ","Stone-Faceted Foiled Stone ","<ul><li>Plating- Electroplated Silver  </li><li>Stone-Faceted Foiled Stone </li></ul>",Silver,85,35,45,1,taxable,1,1999,,,,"Grey Anemone Earring This grey anemone earring features Silver embellishment of stone on fabric combine with 3d glass pipe embalishment and grey feather                                                                                                                                                             ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'color' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Attribute url_key exceeded max length,Invalid value for Attribute Set column (set doesn't exist?)"
EE003,,default,simple,Earring,base,"Clover Like Earring\ Deltoide Earring","Rose gold finish earrings with claw shape. Three layer of different shapes with grey stone enhancing the charm of this earring.                                                                                                         ","Plating- Electroplated Rose gold      ","Stone-Faceted Foiled Stone","<ul><li>Plating- Electroplated Rose gold      </li><li>Stone-Faceted Foiled Stone</li></ul>","Rose gold",130,70,50,1,taxable,1,2895,,,,"Clover Like Earring\ Deltoide Earring Rose gold finish earrings with claw shape. Three layer of different shapes with grey stone enhancing the charm of this earring.                                                                                                         ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Attribute url_key exceeded max length,Invalid value for Attribute Set column (set doesn't exist?)"
EE004,,default,simple,Earring,base,"Abstract Mystery Earring","This handcrafted Rectanglular tube rose gold earrings, arranged in an abstract form with crystal and grey glass pencil shape beads                                                                                                              ","Plating- Electroplated Rose gold                ","Stone-Faceted Foiled Stone","<ul><li>Plating- Electroplated Rose gold                </li><li>Stone-Faceted Foiled Stone</li></ul>","Rose gold",105,45,108,1,taxable,1,3950,,,,"Abstract Mystery Earring This handcrafted Rectanglular tube rose gold earrings, arranged in an abstract form with crystal and grey glass pencil shape beads                                                                                                              ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Attribute url_key exceeded max length,Invalid value for Attribute Set column (set doesn't exist?)"
EE005,,default,simple,Earring,base,"Septette Tassel Earring","This Septette tassel Rose gold finish earrings, have grey stone and pearl with chain tassel attached from one ear to another. A must have.                                                                                                                          ","Plating- Electroplated Rose gold                                               ","Stone-Faceted Foiled Stone          ","<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone          </li></ul>","Rose gold",140,150,78,1,taxable,1,3999,,,,"Septette Tassel Earring This Septette tassel Rose gold finish earrings, have grey stone and pearl with chain tassel attached from one ear to another. A must have.                                                                                                                          ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Attribute url_key exceeded max length,Invalid value for Attribute Set column (set doesn't exist?)"
EE006,,default,simple,Earring,base,"Asymmetrical Baguette Hoops","Abstract arrangement of baguette with very distintive combination of crystal and rose gold.                                                                             ","Plating- Electroplated Rose gold                                               ","Stone-Faceted Foiled Stone , Cubic Zirconia","<ul><li>Plating- Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone , Cubic Zirconia</li></ul>","Rose gold",70,50,50,1,taxable,1,4550,,,,"Asymmetrical Baguette Hoops Abstract arrangement of baguette with very distintive combination of crystal and rose gold.                                                                             ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
EE007,,default,simple,Earring,base,"Milky Diamond Earring","Milky Diamond Earring with diamond shape  arrangments in rose gold finish and oval crystal with opaque and grey beads.                                                ","Plating - Electroplated Rose gold                                               ","Stone-Faceted Foiled Stone","<ul><li>Plating - Electroplated Rose gold                                               </li><li>Stone-Faceted Foiled Stone</li></ul>","Rose gold",105,45,70,1,taxable,1,2150,,,,"Milky Diamond Earring Milky Diamond Earring with diamond shape  arrangments in rose gold finish and oval crystal with opaque and grey beads.                                                ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
EE008,,default,simple,Earring,base,"Azaleas Tassel Earring"," Azaleas tassel earrings with dramatic chain tassels. Handcrafted in Gunmetal plating with grey and crystal stones.                                                                                            ","Plating- ElectroplatedGunmetal                                              ","Stone-Faceted Foiled Stone","<ul><li>Plating- ElectroplatedGunmetal                                              </li><li>Stone-Faceted Foiled Stone</li></ul>",Gunmetal,270,55,125,1,taxable,1,4599,,,,"Azaleas Tassel Earring  Azaleas tassel earrings with dramatic chain tassels. Handcrafted in Gunmetal plating with grey and crystal stones.                                                                                            ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'color' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
EE009,,default,simple,Earring,base,"Abstract Adore Earring","This abstract earring is handcrafted with small metallic flower with pipe arranged in an abstract way with gunmetal spikes.                                                               ","Plating- Electroplated Gunmetal                                               ","Stone-Faceted Foiled Stone","<ul><li>Plating- Electroplated Gunmetal                                               </li><li>Stone-Faceted Foiled Stone</li></ul>",Gunmetal,135,70,78,1,taxable,1,3449,,,,"Abstract Adore Earring This abstract earring is handcrafted with small metallic flower with pipe arranged in an abstract way with gunmetal spikes.                                                               ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'color' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
EE010,,default,simple,Earring,base,"Enthral Gunmetal Earring ","Gunmetal statement piece with eye catching embellishment with crystal baguette golden grey sequins flower.                                                                                 ","Plating- Electroplated Gunmetal                                           ","Stone-Faceted Foiled Stone","<ul><li>Plating- Electroplated Gunmetal                                           </li><li>Stone-Faceted Foiled Stone</li></ul>",Gunmetal,140,90,92,1,taxable,1,3450,,,,"Enthral Gunmetal Earring  Gunmetal statement piece with eye catching embellishment with crystal baguette golden grey sequins flower.                                                                                 ",,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value for 'color' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'visibility' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
